subsystem_id	item_type	item_name	current_location	target_location	file_status	role	priority	action_required	estimated_size_kb
OTCM_SCRIPTS	PYTHON	export_owner_truth_bundle.py	MISSING	/repo/scripts/	NOT_FOUND	WI-OTCM-010 implementation	CRITICAL	Copy from docs/_inputs/otcm/scripts/	250
OTCM_SCRIPTS	PYTHON	validate_owner_export_bundle.py	MISSING	/repo/scripts/	NOT_FOUND	WI-OTCM-011 implementation	CRITICAL	Copy from docs/_inputs/otcm/scripts/	180
OTCM_SCRIPTS	PYTHON	lint_runner.py	MISSING	/repo/scripts/	NOT_FOUND	WI-OTCM-014 implementation	HIGH	Copy from docs/_inputs/otcm/scripts/	220
OTCM_SCRIPTS	PYTHON	assemble_stage8_rc_pack.py	MISSING	/repo/scripts/	NOT_FOUND	WI-OTCM-013 implementation	CRITICAL	Copy from docs/_inputs/otcm/scripts/	160
OTCM_WORKFLOWS	YAML	omoc-ci-gate.yml	MISSING	/.github/workflows/	NOT_FOUND	PR + merge_group canonical check	CRITICAL	Copy from docs/_inputs/otcm/examples/	80
OTCM_WORKFLOWS	YAML	omoc-release-gate.yml	MISSING	/.github/workflows/	NOT_FOUND	Release gate implementation	CRITICAL	Copy from docs/_inputs/otcm/examples/	60
OWNER_PROOFS	BUNDLE	20260406T104257Z_package_b_owner_export.json	NOT_AVAILABLE	/repo/governance/owner_truth/exports/	MISSING	Package B owner truth proof	CRITICAL	Require from Package B owner	200
OWNER_PROOFS	BUNDLE	20260406T104257Z_package_c_owner_export.json	NOT_AVAILABLE	/repo/governance/owner_truth/exports/	MISSING	Package C owner truth proof	CRITICAL	Require from Package C owner	300
OWNER_PROOFS	BUNDLE	20260406T104257Z_package_d_owner_export.json	NOT_AVAILABLE	/repo/governance/owner_truth/exports/	MISSING	Package D owner truth proof	CRITICAL	Require from Package D owner	250
OWNER_PROOFS	BUNDLE	20260406T104257Z_package_e_owner_export.json	NOT_AVAILABLE	/repo/governance/owner_truth/exports/	MISSING	Package E owner truth proof	CRITICAL	Require from Package E owner	200
CR_BLOCKERS	ARTIFACT	single conversation export artifact	NOT_MOUNTED	external	MISSING	Full conv trace for coverage validation	CRITICAL_BLOCKER	Mount as CR-OTCM-001 evidence	variable
CR_BLOCKERS	ARTIFACT	live repo tree snapshot	NOT_MOUNTED	external	MISSING	Worktree root locator validation	CRITICAL_BLOCKER	Mount as CR-OTCM-002 evidence	variable
CR_BLOCKERS	ARTIFACT	actual owner-side production bundles	NOT_MOUNTED	external	MISSING	Production Package B/C/D/E proofs	CRITICAL_BLOCKER	Mount as CR-OTCM-003 evidence	variable
